Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2011,64.0,35.0,N/A,32.0,92.1,68.7,N/A,67.1,50.4,79.9,79.8,65.0,70.0
Algeria,2011,52.4,30.0,N/A,28.0,83.5,62.4,N/A,69.4,52.9,75.4,72.8,20.0,30.0
Angola,2011,46.2,20.0,N/A,19.0,84.5,48.1,N/A,41.4,42.3,61.8,70.2,35.0,40.0
Argentina,2011,51.7,20.0,N/A,29.0,68.7,81.7,N/A,62.4,47.9,63.2,69.5,45.0,30.0
Armenia,2011,69.7,30.0,N/A,27.0,89.2,85.7,N/A,82.4,75.9,76.0,85.5,75.0,70.0
Australia,2011,82.5,90.0,N/A,87.0,61.3,64.7,N/A,90.1,92.2,85.0,84.4,80.0,90.0
Austria,2011,71.9,90.0,N/A,79.0,50.3,28.0,N/A,72.8,78.2,82.9,87.6,80.0,70.0
Azerbaijan,2011,59.7,20.0,N/A,23.0,83.9,71.0,N/A,72.9,81.1,72.6,77.1,55.0,40.0
Bahrain,2011,77.7,60.0,N/A,51.0,99.8,80.2,N/A,77.4,97.0,74.0,82.8,75.0,80.0
"Bangladesh ",2011,53.0,20.0,N/A,24.0,72.7,92.4,N/A,65.0,54.3,68.6,58.0,55.0,20.0
Barbados,2011,68.5,80.0,N/A,74.0,70.7,48.8,N/A,90.0,80.0,76.3,60.5,45.0,60.0
Belarus,2011,47.9,20.0,N/A,24.0,83.6,26.2,N/A,70.6,82.3,62.2,80.3,20.0,10.0
Belgium,2011,70.2,80.0,N/A,71.0,41.8,25.0,N/A,92.6,71.0,82.5,87.6,80.0,70.0
Belize,2011,63.8,40.0,N/A,29.0,82.3,76.1,N/A,73.7,86.5,78.8,71.5,50.0,50.0
Benin,2011,56.0,30.0,N/A,29.0,75.8,84.1,N/A,43.0,50.7,78.2,58.8,60.0,50.0
Bhutan,2011,57.6,60.0,N/A,50.0,83.9,64.1,N/A,59.8,84.7,71.8,52.0,20.0,30.0
