Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2015,N/A,N/A,N/A,8.0,91.7,81.2,N/A,61.4,67.5,72.6,N/A,55.0,N/A
Albania,2015,65.7,30.0,N/A,31.0,87.2,76.1,N/A,70.6,52.9,80.8,87.8,70.0,70.0
Algeria,2015,48.9,30.0,N/A,36.0,80.0,38.7,N/A,66.6,50.5,71.2,60.8,25.0,30.0
Angola,2015,47.9,15.0,N/A,23.0,84.5,50.1,N/A,47.4,43.2,65.4,70.2,40.0,40.0
Argentina,2015,44.1,15.0,N/A,34.0,66.8,41.2,N/A,52.8,43.3,59.6,68.8,30.0,30.0
Armenia,2015,67.1,20.0,N/A,36.0,84.4,82.8,N/A,82.7,64.3,70.6,85.4,75.0,70.0
Australia,2015,81.4,90.0,N/A,81.0,63.7,61.8,N/A,94.1,81.6,85.3,86.4,80.0,90.0
Austria,2015,71.2,90.0,N/A,69.0,50.1,19.8,N/A,78.0,76.7,80.3,88.0,90.0,70.0
Azerbaijan,2015,61.0,20.0,N/A,28.0,88.1,59.7,N/A,74.5,79.1,79.8,76.0,55.0,50.0
Bahrain,2015,73.4,60.0,N/A,48.0,99.9,73.1,N/A,72.5,83.1,74.2,78.6,65.0,80.0
"Bangladesh ",2015,53.9,20.0,N/A,27.0,72.7,92.0,N/A,62.2,63.7,67.7,59.0,45.0,30.0
Barbados,2015,67.9,80.0,N/A,75.0,73.8,42.1,N/A,71.6,69.2,78.2,63.8,65.0,60.0
Belarus,2015,49.8,20.0,N/A,29.0,86.4,54.7,N/A,72.0,80.1,44.5,81.0,20.0,10.0
Belgium,2015,68.8,80.0,N/A,75.0,43.6,10.2,N/A,90.7,63.7,81.7,88.0,85.0,70.0
Belize,2015,56.8,30.0,N/A,6.7,82.4,78.3,N/A,59.1,61.8,79.3,70.4,50.0,50.0
Benin,2015,58.8,30.0,N/A,36.0,68.3,86.7,N/A,55.2,53.2,79.9,58.4,70.0,50.0
Bhutan,2015,57.4,60.0,N/A,63.0,82.6,60.1,N/A,61.9,81.1,66.0,49.4,20.0,30.0
Bolivia,2015,46.8,10.0,N/A,34.0,86.8,60.9,N/A,53.7,25.5,69.7,77.6,10.0,40.0
