Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2010,66.0,35.0,N/A,34.0,92.6,74.2,N/A,68.0,52.1,78.7,85.8,70.0,70.0
Algeria,2010,56.9,30.0,N/A,32.0,83.5,73.4,N/A,71.2,56.4,77.2,70.7,45.0,30.0
Angola,2010,48.4,20.0,N/A,19.0,85.1,62.8,N/A,43.4,45.2,62.6,70.4,35.0,40.0
Argentina,2010,51.2,20.0,N/A,29.0,69.5,75.6,N/A,62.1,50.1,61.2,69.5,45.0,30.0
Armenia,2010,69.2,30.0,N/A,29.0,89.3,90.9,N/A,83.4,70.6,72.9,80.5,75.0,70.0
Australia,2010,82.6,90.0,N/A,87.0,61.4,64.9,N/A,90.3,94.9,82.7,85.1,80.0,90.0
Austria,2010,71.6,90.0,N/A,81.0,51.2,28.8,N/A,73.6,79.1,79.3,87.5,75.0,70.0
Azerbaijan,2010,58.8,20.0,N/A,19.0,79.5,77.5,N/A,74.6,82.5,62.7,77.1,55.0,40.0
Bahrain,2010,76.3,60.0,N/A,54.0,99.9,80.8,N/A,77.8,89.4,73.4,82.9,65.0,80.0
"Bangladesh ",2010,51.1,20.0,N/A,21.0,72.8,93.9,N/A,59.4,53.8,66.6,58.0,45.0,20.0
Barbados,2010,68.3,80.0,N/A,70.0,70.1,54.6,N/A,90.0,80.0,73.1,60.5,45.0,60.0
Belarus,2010,48.7,20.0,N/A,20.0,85.2,32.0,N/A,72.1,84.8,62.6,80.3,20.0,10.0
Belgium,2010,70.1,80.0,N/A,73.0,42.2,30.0,N/A,92.9,67.1,77.9,87.5,80.0,70.0
Belize,2010,61.5,40.0,N/A,29.0,68.3,74.9,N/A,74.1,81.7,75.6,71.5,50.0,50.0
Benin,2010,55.4,30.0,N/A,31.0,75.9,85.2,N/A,42.3,47.8,74.6,57.0,60.0,50.0
Bhutan,2010,57.0,60.0,N/A,52.0,84.1,58.3,N/A,60.5,85.1,73.4,52.0,15.0,30.0
Bolivia,2010,49.4,10.0,N/A,30.0,84.3,67.5,N/A,57.3,39.4,63.2,76.9,15.0,50.0
Bosnia and Herzegovina,2010,56.2,10.0,N/A,32.0,83.2,28.8,N/A,61.3,61.2,74.7,80.8,70.0,60.0
Botswana,2010,70.3,70.0,N/A,58.0,74.1,67.1,N/A,70.5,70.8,68.8,73.9,80.0,70.0
Brazil,2010,55.6,50.0,N/A,35.0,68.4,50.3,N/A,54.5,57.5,75.8,69.2,45.0,50.0
Bulgaria,2010,62.3,30.0,N/A,36.0,86.3,48.3,N/A,77.8,78.1,69.5,87.4,50.0,60.0
Burkina Faso,2010,59.4,30.0,N/A,35.0,80.4,80.0,N/A,60.0,64.4,73.0,71.3,50.0,50.0
Burma,2010,36.7,5.0,N/A,13.0,81.9,98.4,N/A,20.0,20.0,46.5,72.3,0.0,10.0
Burundi,2010,47.5,25.0,N/A,19.0,72.2,42.7,N/A,37.8,66.9,62.7,68.6,50.0,30.0
Cabo Verde,2010,61.8,65.0,N/A,51.0,65.6,65.3,N/A,63.3,48.1,74.5,65.5,60.0,60.0
Cambodia,2010,56.6,30.0,N/A,18.0,91.0,92.9,N/A,39.9,43.6,70.5,70.0,60.0,50.0
Cameroon,2010,52.3,30.0,N/A,23.0,71.8,92.7,N/A,37.2,52.2,71.9,59.7,35.0,50.0
Canada,2010,80.4,90.0,N/A,87.0,76.7,54.1,N/A,96.5,81.5,75.4,88.1,75.0,80.0
Central African Republic,2010,48.4,20.0,N/A,20.0,65.5,94.1,N/A,37.5,50.7,68.3,58.1,40.0,30.0
Chad,2010,47.5,20.0,N/A,16.0,50.5,89.2,N/A,32.7,46.9,76.7,58.4,45.0,40.0
Chile,2010,77.2,85.0,N/A,69.0,77.5,89.6,N/A,64.8,75.4,73.0,88.0,80.0,70.0
China,2010,51.0,20.0,N/A,36.0,70.2,88.1,N/A,49.7,53.2,70.6,72.2,20.0,30.0
Colombia,2010,65.5,50.0,N/A,38.0,74.3,74.8,N/A,83.6,72.7,74.0,72.5,55.0,60.0
Comoros,2010,44.9,30.0,N/A,25.0,65.0,85.1,N/A,43.7,31.4,76.4,62.4,10.0,20.0
"Costa Rica ",2010,65.9,50.0,N/A,51.0,82.4,87.0,N/A,59.3,59.0,67.8,82.5,70.0,50.0
"Côte d'Ivoire ",2010,54.1,30.0,N/A,20.0,78.3,87.1,N/A,43.7,56.1,76.0,64.3,35.0,50.0
Croatia,2010,59.2,40.0,N/A,44.0,70.3,47.1,N/A,61.5,40.8,75.8,87.8,65.0,60.0
Cuba,2010,26.7,10.0,N/A,43.0,45.9,0.0,N/A,10.0,20.0,66.7,61.7,0.0,10.0
Cyprus,2010,70.9,80.0,N/A,64.0,72.7,44.8,N/A,80.3,61.5,82.9,82.5,70.0,70.0
Czech Republic,2010,69.8,65.0,N/A,52.0,80.1,45.6,N/A,65.5,76.4,75.6,87.5,70.0,80.0
Democratic Republic of Congo,2010,41.4,10.0,N/A,17.0,74.0,90.5,N/A,33.5,33.4,58.7,61.7,15.0,20.0
Denmark,2010,77.9,90.0,N/A,93.0,35.9,22.0,N/A,97.9,93.7,79.3,87.5,90.0,90.0
Djibouti,2010,51.0,30.0,N/A,30.0,78.2,58.9,N/A,35.7,55.3,70.5,31.9,60.0,60.0
Dominica,2010,63.2,65.0,N/A,60.0,67.7,49.8,N/A,75.4,65.2,80.0,74.3,65.0,30.0
Dominican Republic,2010,60.3,30.0,N/A,30.0,85.3,90.2,N/A,62.4,59.6,70.8,80.0,55.0,40.0
Ecuador,2010,49.3,20.0,N/A,20.0,79.3,77.5,N/A,52.9,42.2,63.9,71.8,25.0,40.0
Egypt,2010,59.0,40.0,N/A,28.0,89.7,73.4,N/A,65.0,55.6,64.2,74.0,50.0,50.0
"El Salvador ",2010,69.9,50.0,N/A,39.0,85.7,89.2,N/A,67.4,64.5,74.1,83.8,75.0,70.0
Equatorial Guinea,2010,48.6,20.0,N/A,17.0,75.5,83.9,N/A,44.8,44.8,80.9,58.9,20.0,40.0
Eritrea,2010,35.3,10.0,N/A,26.0,73.0,6.9,N/A,18.0,70.8,59.0,69.1,0.0,20.0
Estonia,2010,74.7,80.0,N/A,66.0,80.2,62.2,N/A,83.1,47.0,71.1,87.5,90.0,80.0
Eswatini,2010,57.4,45.0,N/A,36.0,63.1,55.5,N/A,67.2,68.4,68.8,74.9,55.0,40.0
Ethiopia,2010,51.2,30.0,N/A,26.0,77.7,82.9,N/A,66.3,61.5,60.4,61.9,25.0,20.0
Fiji,2010,60.3,30.0,N/A,40.0,75.7,80.6,N/A,63.5,84.0,73.6,71.0,25.0,60.0
Finland,2010,73.8,90.0,N/A,90.0,65.4,32.9,N/A,95.0,43.8,78.9,87.5,75.0,80.0
France,2010,64.2,80.0,N/A,69.0,51.9,17.9,N/A,86.3,54.7,79.7,82.5,50.0,70.0
Gabon,2010,55.4,40.0,N/A,31.0,61.5,86.4,N/A,58.8,57.4,71.4,62.1,45.0,40.0
Georgia,2010,70.4,40.0,N/A,39.0,89.1,65.3,N/A,87.9,93.7,70.2,89.1,70.0,60.0
Germany,2010,71.1,90.0,N/A,79.0,58.3,41.4,N/A,89.6,39.9,79.9,87.5,85.0,60.0
Ghana,2010,60.2,50.0,N/A,39.0,83.5,58.9,N/A,56.8,57.4,65.9,65.3,65.0,60.0
Greece,2010,62.7,60.0,N/A,47.0,65.9,41.9,N/A,77.4,55.1,77.6,82.5,60.0,60.0
"Guatemala ",2010,61.0,35.0,N/A,31.0,79.3,93.9,N/A,52.5,54.3,70.2,84.0,60.0,50.0
Guinea,2010,51.8,20.0,N/A,16.0,69.9,93.1,N/A,43.7,78.0,57.4,60.0,40.0,40.0
Guinea-Bissau,2010,43.6,20.0,N/A,19.0,88.6,47.3,N/A,23.4,52.5,67.0,58.2,30.0,30.0
Guyana,2010,48.4,35.0,N/A,26.0,55.9,26.2,N/A,63.4,65.2,71.0,71.3,30.0,40.0
Haiti,2010,50.8,10.0,N/A,14.0,81.5,91.3,N/A,36.0,69.2,67.1,79.1,30.0,30.0
"Honduras ",2010,58.3,30.0,N/A,26.0,84.7,73.5,N/A,63.0,31.6,70.2,83.7,60.0,60.0
Hong Kong,2010,89.7,90.0,N/A,81.0,93.0,93.7,N/A,98.7,87.4,83.1,90.0,90.0,90.0
"Hungary ",2010,66.1,65.0,N/A,51.0,68.6,25.9,N/A,76.8,67.6,74.1,87.5,75.0,70.0
Iceland,2010,73.7,90.0,N/A,89.0,75.4,45.8,N/A,93.0,60.8,69.9,87.9,65.0,60.0
India,2010,53.8,50.0,N/A,34.0,73.4,76.1,N/A,36.3,57.7,67.5,67.9,35.0,40.0
Indonesia,2010,55.5,30.0,N/A,26.0,81.9,89.1,N/A,53.1,50.8,70.8,77.9,35.0,40.0
Iran,2010,43.4,10.0,N/A,23.0,81.1,79.6,N/A,69.9,55.1,54.7,50.2,0.0,10.0
Iraq,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2010,81.3,90.0,N/A,77.0,71.1,61.8,N/A,92.8,79.0,79.0,87.5,95.0,80.0
Israel,2010,67.7,70.0,N/A,60.0,58.4,35.4,N/A,66.4,65.4,78.2,87.8,85.0,70.0
Italy,2010,62.7,55.0,N/A,48.0,55.2,31.2,N/A,77.9,58.2,79.0,87.5,75.0,60.0
"Jamaica ",2010,65.5,45.0,N/A,31.0,74.8,61.8,N/A,87.0,70.0,68.4,72.2,85.0,60.0
Japan,2010,72.9,80.0,N/A,73.0,67.2,61.1,N/A,84.5,82.4,88.8,82.4,60.0,50.0
Jordan,2010,66.1,55.0,N/A,51.0,83.0,55.1,N/A,65.6,74.2,73.2,78.8,65.0,60.0
Kazakhstan,2010,61.0,30.0,N/A,22.0,87.9,82.1,N/A,73.5,83.1,65.6,85.9,30.0,50.0
Kenya,2010,57.5,30.0,N/A,21.0,78.1,83.1,N/A,63.4,63.7,72.7,67.9,45.0,50.0
Kiribati,2010,43.7,30.0,N/A,31.0,42.2,0.0,N/A,65.6,86.1,71.9,55.4,25.0,30.0
Kuwait,2010,67.7,50.0,N/A,43.0,99.9,76.6,N/A,65.8,88.0,66.4,82.5,55.0,50.0
"Kyrgyz Republic ",2010,61.3,25.0,N/A,18.0,92.9,80.2,N/A,76.6,82.6,62.2,75.9,50.0,50.0
Laos,2010,51.1,15.0,N/A,20.0,80.1,90.3,N/A,59.4,58.9,73.5,68.4,25.0,20.0
Latvia,2010,66.2,55.0,N/A,50.0,82.7,57.4,N/A,72.9,59.1,67.0,87.5,80.0,50.0
Lebanon,2010,59.5,30.0,N/A,30.0,91.6,62.8,N/A,56.6,57.0,71.4,80.5,55.0,60.0
Lesotho,2010,48.1,40.0,N/A,32.0,52.0,30.0,N/A,62.0,66.1,70.3,63.5,25.0,40.0
Liberia,2010,46.2,25.0,N/A,24.0,67.8,82.3,N/A,52.8,51.3,65.4,53.8,20.0,20.0
Libya,2010,40.2,10.0,N/A,26.0,81.7,62.8,N/A,20.0,20.0,66.4,85.0,10.0,20.0
Liechtenstein,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2010,70.3,55.0,N/A,46.0,84.6,63.5,N/A,82.0,58.5,70.8,87.5,75.0,80.0
Luxembourg,2010,75.4,90.0,N/A,83.0,65.9,58.5,N/A,75.1,40.4,78.9,87.5,95.0,80.0
Macau,2010,72.5,60.0,N/A,54.0,77.8,95.2,N/A,60.0,60.0,77.5,90.0,80.0,70.0
Madagascar,2010,63.2,45.0,N/A,34.0,87.3,88.8,N/A,71.9,46.9,75.4,73.2,60.0,50.0
Malawi,2010,54.1,45.0,N/A,28.0,78.9,45.8,N/A,44.8,59.3,71.0,68.6,50.0,50.0
"Malaysia ",2010,64.8,55.0,N/A,51.0,84.3,81.3,N/A,69.9,71.4,76.7,78.7,30.0,50.0
Maldives,2010,49.0,30.0,N/A,28.0,95.5,0.0,N/A,82.3,75.3,69.7,44.5,35.0,30.0
Mali,2010,55.6,35.0,N/A,31.0,60.2,81.1,N/A,47.5,67.9,73.8,69.6,50.0,40.0
Malta,2010,67.2,80.0,N/A,58.0,62.5,45.6,N/A,70.0,60.0,78.1,87.5,70.0,60.0
Mauritania,2010,52.0,25.0,N/A,28.0,75.1,73.4,N/A,48.3,52.5,78.0,69.9,30.0,40.0
Mauritius,2010,76.3,60.0,N/A,55.0,92.5,83.4,N/A,82.2,78.5,71.2,85.6,85.0,70.0
Mexico,2010,68.3,50.0,N/A,36.0,83.5,85.2,N/A,83.0,61.9,76.3,82.0,65.0,60.0
