Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2012,65.1,35.0,N/A,33.0,91.4,69.5,N/A,78.2,51.0,78.6,79.8,65.0,70.0
Algeria,2012,51.0,30.0,N/A,29.0,82.9,47.9,N/A,66.3,54.4,76.3,72.8,20.0,30.0
Angola,2012,46.7,20.0,N/A,19.0,84.1,53.2,N/A,45.5,43.9,61.2,65.2,35.0,40.0
Argentina,2012,48.0,20.0,N/A,29.0,65.5,56.9,N/A,61.0,48.9,60.7,67.6,40.0,30.0
Armenia,2012,68.8,30.0,N/A,26.0,89.3,74.9,N/A,87.8,76.6,73.1,85.4,75.0,70.0
Australia,2012,83.1,90.0,N/A,87.0,63.4,67.1,N/A,91.9,90.6,84.5,86.2,80.0,90.0
Austria,2012,70.3,90.0,N/A,79.0,50.5,15.4,N/A,70.3,78.1,82.2,87.2,80.0,70.0
Azerbaijan,2012,58.9,20.0,N/A,24.0,84.9,63.7,N/A,68.6,81.6,74.5,77.2,55.0,40.0
Bahrain,2012,75.2,55.0,N/A,49.0,99.9,72.2,N/A,76.5,91.1,70.4,82.8,75.0,80.0
"Bangladesh ",2012,53.2,20.0,N/A,24.0,72.8,93.9,N/A,68.5,55.9,67.5,54.0,55.0,20.0
Barbados,2012,69.0,80.0,N/A,78.0,71.1,40.1,N/A,90.0,80.0,75.8,60.5,55.0,60.0
Belarus,2012,49.0,20.0,N/A,25.0,86.6,34.9,N/A,71.3,77.0,65.3,80.4,20.0,10.0
Belgium,2012,69.0,80.0,N/A,71.0,44.8,12.1,N/A,92.3,71.3,81.2,87.1,80.0,70.0
Belize,2012,61.9,30.0,N/A,20.0,82.8,74.6,N/A,73.6,82.2,77.6,78.1,50.0,50.0
Benin,2012,55.7,30.0,N/A,28.0,76.2,79.9,N/A,42.9,51.5,79.7,59.3,60.0,50.0
Bhutan,2012,56.6,60.0,N/A,57.0,83.8,55.3,N/A,59.7,78.6,72.6,49.5,20.0,30.0
Bolivia,2012,50.2,10.0,N/A,28.0,87.0,62.2,N/A,56.5,40.8,72.8,74.3,20.0,50.0
Bosnia and Herzegovina,2012,57.3,20.0,N/A,32.0,84.3,24.4,N/A,55.2,60.4,80.7,86.0,70.0,60.0
Botswana,2012,69.6,70.0,N/A,58.0,78.3,53.7,N/A,69.1,70.2,72.4,79.7,75.0,70.0
Brazil,2012,57.9,50.0,N/A,37.0,69.1,54.8,N/A,53.7,59.1,75.8,69.7,50.0,60.0
Bulgaria,2012,64.7,30.0,N/A,36.0,93.6,50.3,N/A,72.7,84.2,77.8,87.1,55.0,60.0
Burkina Faso,2012,60.6,30.0,N/A,31.0,80.4,84.0,N/A,62.8,58.9,81.4,72.5,55.0,50.0
Burma,2012,38.7,10.0,N/A,14.0,82.0,96.0,N/A,20.0,20.0,61.2,73.6,0.0,10.0
Burundi,2012,48.1,20.0,N/A,18.0,72.2,22.9,N/A,46.1,67.2,70.9,78.9,55.0,30.0
Cabo Verde,2012,63.5,65.0,N/A,51.0,77.3,61.8,N/A,59.0,48.5,80.5,66.9,65.0,60.0
Cambodia,2012,57.6,30.0,N/A,21.0,91.1,90.0,N/A,40.7,47.2,80.7,65.2,60.0,50.0
Cameroon,2012,51.8,30.0,N/A,22.0,69.3,90.8,N/A,47.1,48.1,70.9,54.9,35.0,50.0
Canada,2012,79.9,90.0,N/A,89.0,79.2,41.7,N/A,96.6,81.8,77.3,87.9,75.0,80.0
Central African Republic,2012,50.3,20.0,N/A,21.0,65.2,92.9,N/A,37.3,49.1,74.6,57.8,55.0,30.0
Chad,2012,44.8,20.0,N/A,17.0,50.2,74.2,N/A,24.9,43.7,72.5,55.6,50.0,40.0
Chile,2012,78.3,90.0,N/A,72.0,77.4,82.1,N/A,68.6,75.1,85.6,82.0,80.0,70.0
China,2012,51.2,20.0,N/A,35.0,70.4,84.1,N/A,46.4,55.4,74.2,71.6,25.0,30.0
Colombia,2012,68.0,50.0,N/A,35.0,76.0,74.1,N/A,89.4,79.7,78.7,72.2,65.0,60.0
Comoros,2012,45.7,30.0,N/A,21.0,64.9,85.3,N/A,41.5,31.2,78.3,69.4,15.0,20.0
"Costa Rica ",2012,68.0,55.0,N/A,53.0,82.8,90.8,N/A,57.6,62.7,73.4,85.1,70.0,50.0
"Côte d'Ivoire ",2012,54.3,20.0,N/A,22.0,78.1,86.6,N/A,42.7,56.1,81.7,70.3,35.0,50.0
Croatia,2012,60.9,40.0,N/A,41.0,76.4,45.0,N/A,63.4,44.4,81.4,87.5,70.0,60.0
Cuba,2012,28.3,10.0,N/A,37.0,61.5,0.0,N/A,10.0,20.0,71.3,62.7,0.0,10.0
Cyprus,2012,71.8,70.0,N/A,63.0,83.3,37.1,N/A,81.6,69.9,85.7,82.1,75.0,70.0
Czech Republic,2012,69.9,70.0,N/A,46.0,82.0,36.8,N/A,67.7,77.9,81.5,87.1,70.0,80.0
Democratic Republic of Congo,2012,41.1,10.0,N/A,20.0,72.5,76.1,N/A,38.7,39.0,51.2,63.0,20.0,20.0
Denmark,2012,76.2,90.0,N/A,93.0,39.8,0.0,N/A,99.1,92.1,80.7,87.1,90.0,90.0
Djibouti,2012,53.9,30.0,N/A,32.0,80.3,42.4,N/A,30.5,61.6,77.2,59.6,65.0,60.0
Dominica,2012,61.6,60.0,N/A,52.0,68.8,43.8,N/A,80.5,61.9,85.0,74.3,60.0,30.0
Dominican Republic,2012,60.2,30.0,N/A,30.0,85.8,91.4,N/A,55.5,58.7,75.1,80.1,55.0,40.0
Ecuador,2012,48.3,20.0,N/A,25.0,78.3,64.3,N/A,54.1,41.0,66.8,68.1,25.0,40.0
Egypt,2012,57.9,35.0,N/A,31.0,89.7,64.1,N/A,63.8,53.7,62.3,74.0,65.0,40.0
"El Salvador ",2012,68.7,40.0,N/A,36.0,85.5,91.1,N/A,63.2,65.3,82.1,79.0,75.0,70.0
Equatorial Guinea,2012,42.8,20.0,N/A,19.0,75.5,28.0,N/A,44.7,43.8,73.1,58.8,25.0,40.0
Eritrea,2012,36.2,10.0,N/A,26.0,57.0,46.8,N/A,17.1,63.2,52.9,69.1,0.0,20.0
Estonia,2012,73.2,80.0,N/A,65.0,79.1,38.8,N/A,75.7,56.9,79.3,87.1,90.0,80.0
Eswatini,2012,57.2,40.0,N/A,32.0,67.2,56.5,N/A,66.4,70.8,74.5,69.7,55.0,40.0
Ethiopia,2012,52.0,30.0,N/A,27.0,74.8,91.1,N/A,64.4,55.5,67.1,65.6,25.0,20.0
Fiji,2012,57.3,25.0,N/A,20.0,78.1,78.9,N/A,59.3,75.8,75.7,69.7,30.0,60.0
Finland,2012,72.3,90.0,N/A,92.0,65.4,5.2,N/A,94.9,42.4,81.3,87.1,85.0,80.0
France,2012,63.2,80.0,N/A,68.0,53.8,5.3,N/A,83.7,51.6,82.3,82.1,55.0,70.0
Gabon,2012,56.4,40.0,N/A,28.0,73.5,81.5,N/A,57.7,59.8,77.7,61.1,45.0,40.0
Georgia,2012,69.4,40.0,N/A,38.0,87.8,55.8,N/A,86.9,92.1,74.4,89.2,70.0,60.0
Germany,2012,71.0,90.0,N/A,79.0,61.3,32.2,N/A,90.5,41.4,83.5,87.1,85.0,60.0
Ghana,2012,60.7,50.0,N/A,41.0,81.9,48.3,N/A,62.9,62.9,66.9,67.8,65.0,60.0
Greece,2012,55.4,50.0,N/A,35.0,65.3,16.2,N/A,76.3,36.6,72.6,82.1,60.0,60.0
"Guatemala ",2012,60.9,30.0,N/A,32.0,79.6,93.9,N/A,48.5,53.5,77.3,84.6,60.0,50.0
Guinea,2012,50.8,20.0,N/A,20.0,69.3,82.6,N/A,38.5,64.7,67.1,61.2,45.0,40.0
Guinea-Bissau,2012,50.1,20.0,N/A,21.0,88.7,63.3,N/A,40.5,61.0,75.9,65.3,35.0,30.0
Guyana,2012,51.3,30.0,N/A,27.0,64.0,52.0,N/A,65.5,65.3,77.4,71.5,30.0,30.0
Haiti,2012,50.7,10.0,N/A,22.0,80.6,85.3,N/A,33.3,65.4,76.0,74.8,30.0,30.0
"Honduras ",2012,58.8,30.0,N/A,24.0,83.7,83.4,N/A,60.6,30.0,74.1,77.1,65.0,60.0
Hong Kong,2012,89.9,90.0,N/A,84.0,93.1,91.0,N/A,98.9,86.5,85.8,90.0,90.0,90.0
"Hungary ",2012,67.1,70.0,N/A,47.0,78.6,24.4,N/A,79.8,67.6,76.1,87.1,70.0,70.0
Iceland,2012,70.9,90.0,N/A,85.0,73.5,21.8,N/A,92.0,60.9,72.5,88.2,65.0,60.0
India,2012,54.6,50.0,N/A,33.0,76.1,74.8,N/A,35.5,74.2,62.9,64.1,35.0,40.0
Indonesia,2012,56.4,30.0,N/A,28.0,83.5,91.6,N/A,54.6,52.1,75.2,73.9,35.0,40.0
Iran,2012,42.3,10.0,N/A,22.0,80.6,76.9,N/A,64.8,51.5,62.0,45.7,0.0,10.0
Iraq,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2012,76.9,90.0,N/A,80.0,73.9,30.4,N/A,92.8,78.4,76.7,87.1,90.0,70.0
Israel,2012,67.8,70.0,N/A,61.0,64.1,41.0,N/A,64.4,65.1,79.0,83.6,80.0,70.0
Italy,2012,58.8,50.0,N/A,39.0,55.0,19.4,N/A,77.4,43.0,82.0,87.1,75.0,60.0
"Jamaica ",2012,65.1,40.0,N/A,33.0,75.5,58.7,N/A,84.7,69.6,72.4,72.1,85.0,60.0
Japan,2012,71.6,80.0,N/A,78.0,67.1,47.0,N/A,81.8,81.4,88.9,81.8,60.0,50.0
Jordan,2012,69.9,55.0,N/A,47.0,93.5,67.0,N/A,69.5,75.7,81.2,79.6,70.0,60.0
