Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2013,N/A,N/A,N/A,15.0,N/A,83.2,N/A,59.7,75.8,69.5,N/A,65.0,N/A
Albania,2013,65.2,30.0,N/A,31.0,92.6,75.1,N/A,81.0,49.0,78.4,79.8,65.0,70.0
Algeria,2013,49.6,30.0,N/A,29.0,80.4,44.1,N/A,65.2,52.6,76.6,67.8,20.0,30.0
Angola,2013,47.3,15.0,N/A,20.0,82.6,60.6,N/A,43.1,44.8,61.5,70.2,35.0,40.0
Argentina,2013,46.7,15.0,N/A,30.0,64.3,52.1,N/A,60.1,47.4,60.4,67.6,40.0,30.0
Armenia,2013,69.4,30.0,N/A,26.0,88.0,82.1,N/A,87.6,77.1,73.0,85.4,75.0,70.0
Australia,2013,82.6,90.0,N/A,88.0,66.4,62.8,N/A,95.5,83.5,83.8,86.2,80.0,90.0
Austria,2013,71.8,90.0,N/A,78.0,51.1,23.5,N/A,73.6,80.4,79.3,86.8,85.0,70.0
Azerbaijan,2013,59.7,25.0,N/A,24.0,85.5,67.8,N/A,69.2,79.4,73.5,77.2,55.0,40.0
Bahrain,2013,75.5,55.0,N/A,51.0,99.9,72.4,N/A,75.8,90.4,72.5,82.8,75.0,80.0
"Bangladesh ",2013,52.6,20.0,N/A,27.0,72.7,92.1,N/A,68.0,51.9,65.4,54.0,55.0,20.0
Barbados,2013,69.3,80.0,N/A,78.0,74.5,54.2,N/A,74.8,84.4,72.1,60.5,55.0,60.0
Belarus,2013,48.0,20.0,N/A,24.0,88.8,43.5,N/A,75.2,76.9,40.7,80.8,20.0,10.0
Belgium,2013,69.2,80.0,N/A,75.0,45.0,14.5,N/A,91.6,69.8,79.3,86.8,80.0,70.0
Belize,2013,57.3,30.0,N/A,0.0,82.2,72.6,N/A,72.6,71.4,77.3,77.2,40.0,50.0
Benin,2013,57.6,30.0,N/A,30.0,76.1,86.1,N/A,45.4,49.7,79.9,59.3,70.0,50.0
Bhutan,2013,55.0,60.0,N/A,57.0,82.7,38.8,N/A,60.5,84.4,67.3,49.5,20.0,30.0
Bolivia,2013,47.9,10.0,N/A,28.0,88.8,64.1,N/A,55.8,30.8,67.4,74.3,10.0,50.0
Bosnia and Herzegovina,2013,57.3,20.0,N/A,32.0,83.2,26.9,N/A,54.3,61.2,79.0,86.4,70.0,60.0
Botswana,2013,70.6,70.0,N/A,61.0,79.5,65.1,N/A,69.0,69.8,72.0,79.7,70.0,70.0
Brazil,2013,57.7,50.0,N/A,38.0,70.3,54.8,N/A,53.0,57.2,74.4,69.7,50.0,60.0
